Stock Name,Last Traded Price,Current Monthly Status
NSE:DIVISLAB-EQ,5757.05,Bullish
NSE:MARUTI-EQ,12323.45,Bullish Confirmed
NSE:INDIGO-EQ,4510.75,Bullish
NSE:JSWSTEEL-EQ,981.9,Bullish
NSE:AMBUJACEM-EQ,481.95,Bearish Confirmed
NSE:HINDALCO-EQ,653.55,Bullish
NSE:NAUKRI-EQ,7537.1,Bearish Confirmed
NSE:IDEA-EQ,8.04,Bearish Confirmed
NSE:NAVINFLUOR-EQ,4033.9,Bullish Confirmed
NSE:DLF-EQ,686.25,Bearish Confirmed
NSE:INFY-EQ,1815.0,Bearish
NSE:APOLLOTYRE-EQ,408.65,Bearish Confirmed
NSE:ITC-EQ,400.9,Bearish Confirmed
NSE:BAJAJFINSV-EQ,1879.35,Bullish Confirmed
NSE:ICICIPRULI-EQ,574.0,Bearish Confirmed
NSE:CUMMINSIND-EQ,2836.15,Bearish Confirmed
NSE:MANAPPURAM-EQ,201.32,Bullish
NSE:M&M-EQ,2669.35,Bearish
NSE:RAMCOCEM-EQ,852.35,Bearish Confirmed
NSE:ASHOKLEY-EQ,222.53,Bearish Confirmed
NSE:PEL-EQ,934.5,Bearish Confirmed
NSE:PIIND-EQ,3145.4,Bearish Confirmed
NSE:ADANIENT-EQ,2133.1,Bearish
NSE:AUROPHARMA-EQ,1115.15,Bearish Confirmed
NSE:RELIANCE-EQ,1228.15,Bearish Confirmed
NSE:INDUSTOWER-EQ,336.4,Bearish Confirmed
NSE:BAJFINANCE-EQ,8396.7,Bullish Confirmed
NSE:SRF-EQ,2778.9,Bullish Confirmed
NSE:TATACHEM-EQ,846.05,Bearish Confirmed
NSE:TATAPOWER-EQ,357.2,Bearish Confirmed
NSE:TATACONSUM-EQ,1004.0,Bullish
NSE:TATAMOTORS-EQ,673.2,Bearish Confirmed
NSE:TITAN-EQ,3179.9,Bearish Confirmed
NSE:TORNTPHARM-EQ,3039.35,Bearish
NSE:VOLTAS-EQ,1269.0,Bearish Confirmed
NSE:TATACOMM-EQ,1450.15,Bearish Confirmed
NSE:BHARATFORG-EQ,1058.95,Bearish Confirmed
NSE:ICICIBANK-EQ,1232.95,Bearish
NSE:CANFINHOME-EQ,598.55,Bearish Confirmed
NSE:JINDALSTEL-EQ,880.35,Bearish Confirmed
NSE:CHOLAFIN-EQ,1384.15,Bullish
NSE:CIPLA-EQ,1475.75,Bearish Confirmed
NSE:GLENMARK-EQ,1300.8,Bearish Confirmed
NSE:TVSMOTOR-EQ,2324.95,Bearish Confirmed
NSE:ESCORTS-EQ,3066.6,Bearish Confirmed
